teamplaceCodigo,nombre,destino,skuAnterior,skuNuevo
"N010736","GUIA DE ONDA",#TV-RX,#REV-TAN-0295,#TV-RX-0022
"N020518","JUNUO TV STICK",#CPE-STB,#REV-TAN-0315,#CPE-STB-0019
"N020501","DECODER IDS",#CPE-STB,#REV-TAN-0200,#CPE-STB-0020
"N020504","DECODER INTEK HD CABLE C/ AV HDM",#CPE-STB,#REV-TAN-0201,#CPE-STB-0021
"N020179","IP-TV BOX (muestra) NACIONAL",#CPE-STB,#REV-TAN-0307,#CPE-STB-0022
"N040311","BITUBO x Mts NACIONAL",#FO-CAB,#REV-TAN-0040,#FO-CAB-0114
"N040305","MONOTUBO x Mts. NACIONAL",#FO-CAB,#REV-TAN-0393,#FO-CAB-0115
"N010246","CABLE DE SERVICIO x15mts NACIONAL",#FO-CAB,#REV-TAN-0078,#FO-CAB-0116
"N010104","CABLE DE SERVICIO x15mts NACIONAL",#FO-CAB,#REV-TAN-0077,#FO-CAB-0117
"N010718","CABLE DE SERVICIO x8mts NACIONAL",#FO-CAB,#REV-TAN-0079,#FO-CAB-0118
"N020049","CABLE DE SERVICIO x10mts NACIONAL",#FO-CAB,#REV-TAN-0074,#FO-CAB-0119
"N040147","ADAPTADORES SC/PC NACIONAL",#FO-CNX,#REV-TAN-0007,#FO-CNX-0222
"N010075","WDM MULTIPLEX OPTICO 1310/1490 NACIONAL",#FO-CNX,#REV-TAN-0598,#FO-CNX-0223
"N010287","SLOT BOX VACIO 1:8 NACIONAL",#FO-DIS,#REV-TAN-0538,#FO-DIS-0073
"I010287","SLOT BOX VACIO 1:8 IMPORTADO",#FO-DIS,#REV-TAN-0537,#FO-DIS-0074
"N040524","TORNIQUETE DOBLE",#FO-HER,#REV-TAN-0569,#FO-HER-0179
"N040523","TORNIQUETE Nº 7",#FO-HER,#REV-TAN-0571,#FO-HER-0180
"N040522","TORNIQUETE Nº 3",#FO-HER,#REV-TAN-0570,#FO-HER-0181
"N040155","TORNIQUETE Nº5 ZINCADO",#FO-HER,#REV-TAN-0572,#FO-HER-0182
"N0450423","AISLADOR",#FO-HER,#REV-TAN-0010,#FO-HER-0183
"N040207","AISLADOR MN-20 (202032) NACIONAL",#FO-HER,#REV-TAN-0011,#FO-HER-0184
"N040302","PRENSACABLE 3/16 METAL NACIONAL",#FO-HER,#REV-TAN-0491,#FO-HER-0185
"N020306","PITON Nº6 NACIONAL",#FO-HER,#REV-TAN-0466,#FO-HER-0186
